kind	chunk_or_file	col	pageB	our_or_marked_form	B_reads	A_reads	verdict	note
sic	0032	1110D	560	formo sa	formo sa	(A pending)	STANDS	site is on B p. 560 (top of col 1111, first line, before the marginal A), not p. 559: italic *formo sa* with a clear word-space, line-final, *mea* opens next line
sic	0032	1111D	560	*assumunt*	assumunt	(A pending)	STANDS	*assumunt sibi*: a-s-s-u-m-u-n-t, three-stem *m* then open *u*, not *assumit*
sic	0033	1112D	560	*se*	se	(A pending)	STANDS	*tantopere se invito*: *s* clear, not *t*
sic	0033	1113A	561	*solidaria*	solidaria	(A pending)	STANDS?	B *s?lidaria*: *d* (bowl + ascender) clear where *solitaria* needs *t*; the 2nd letter looks open-topped (*u*?) — see A
sic	0033	1113B	561	iu	iu	(A pending)	STANDS	italic *iu deserto*: second letter open-topped *u*, no arch of *n*
sic	0034	1118B	563	purvulas	purvulas	(A pending)	STANDS	1118B *cum subdit, capite nobis vulpes pur?ul?s.* (NOT the lemma below, which prints *parvulas* cleanly): 2nd letter an open-topped italic *u* identical to the *u* of *vulpes*, where the lemma's *a* has a closed bowl; 4th letter a thin italic *v*; the vowel before final *s* also looks open (*u*?), so B ≈ *purvulus*/*purvulas*
sic	0034	1118D	563	*conturbernium*	conturbernium	(A pending)	STANDS	*conturbernium*: *u-r-b* after *cont*, no *b* before *e* missing, clear
sic	0035	1120C	564	*dicautur*	dicautur	(A pending)	STANDS	*aliorum dicautur,*: open-topped *u* after *a* where *n* belongs (compare *dicuntur* two lines up)
sic	0036	1123C	566	*praevale*	praevale	(A pending)	STANDS	*intelli-|gere non prævale , ex*: *prævale* followed by a blank the width of a letter before the comma; no *t* printed (the SIC-LIST's col 1123C; on B it sits at the C/D band line)
sic	0036	1123D	566	*gradiuntu*	gradiuntu	(A pending)	STANDS	*viam gradiuntu (Matth. vii)*: nothing between *u* and the parenthesis; no *r*
sic	0036	1124B	566	*suscitatur*	suscitatur	(A pending)	STANDS	*cunctabunda suscitatur,*: *s-u-s-c* at the head, no *sci-* of *sciscitatur*
sic	0038	1129A	569	*testitudinis*	testitudinis	(A pending)	STANDS	*sono testitudinis*: t-e-s-t-i-t-u-d-i-n-i-s, the extra *it* before *udinis* clear (the *e* is thin, reads *c*; not what is at issue)
sic	0041	1139D	574	*delectasio*	delectasio	(A pending)	STANDS	*delectasio,*: long-less round *s* before *io*, not *t* (compare *t* of *delecta-*)
sic	0041	1139D	574	*praecito*	praecito	(A pending)	STANDS	*præcito capite*: *c* (open, no ascender) before *ito*, not long *s*
sic	0041	1140B	574	*insinuaut*	insinuaut	(A pending)	STANDS	*sequen-|tia insinuaut ;*: open-topped *u* before the final *t*, where *n* belongs
sic	0044	1148C	578	intrisecus	intrisecus	(A pending)	STANDS	italic *eo quod intrisecus latet*: no *n* between *i* and *s*
sic	0044	1148D	578	ea	ea	(A pending)	STANDS	italic *nescit quo ea (Joan.*: *ea* followed directly by the parenthesis, no *t*
sic	0045	1152D	580	*est*	est	(A pending)	STANDS	*Dum vix aut nunquam sufficit sancta anima foris* | *est ostendere quanta*: *est* opens the line as a whole word (not a broken *esse*); nothing after it before *ostendere*
sic	0045	1153D	581	petus	petus	(A pending)	STANDS	italic *cupidine petus ?*: p-e-t-u-s, no *c* between *e* and *t*
tei	cruces-0020.md	1080A	544	1080A · *odoris hujus sua vitatem* → *odoris hujus suavitatem* · p. 546	suavitatem	(A pending)	CONFIRMED	*suavitatem* one word, no space after *sua*
tei	cruces-0020.md	1082C	545	1082C · *sicut mos est protantium* → *sicut mos est portantium* · p. 547	portantium	(A pending)	CONFIRMED	*portantium*: *or* order clear
tei	cruces-0020.md	1088D	548	1088D · *sanctarum seriem. Scripturarum* → *sanctarum seriem Scripturarum* · p. 550	seriem	(A pending)	CONFIRMED	*seriem* ends the line with no point after it; *Scripturarum* opens the next
tei	cruces-0025.md	1089C	549	1089C · *Mundamus est cessare a bono* → *Mundanus est cessare a bono* · p. 551	Mundanus	(A pending)	CONFIRMED	*Mundanus est ces-*: two-stem *n* after *a*, no *m*
tei	cruces-0025.md	1093A	551	1093A · *ut manu artificis runc natum decorum* → *ut manu artificis runcinatum decorum* (plate *runc'natum*: the *i* sort broken, its upper stroke visible at one letter's width; identical on scan B p. 551) · p. 553	runc'natum	(A pending)	CONFIRMED	*runc'natum*: between *c* and *n* a one-letter gap with only a short upper stroke (broken *i* sort); plate intends *runcinatum*
tei	cruces-0030.md	1106C	557	1106C · *donec ipsa vetit* → *donec ipsa velit* · p. 559	velit	(A pending)	CONFIRMED	italic *donec ipsa velit*: *l* ascender clear, no *t* crossbar
tei	cruces-0030.md	1107A	558	1107A · *dilecta semper flagrans, confirmari et defendi* → *dilecta semper flagrans, gaudeat se confirmari et defendi* · p. 560	gaudeat se confirmari	(A pending)	CONFIRMED	*flagrans, gaudeat se confirmari*: both words printed plainly before *confirmari*
tei	cruces-0030.md	1107B–C	558	1107B–C · *quando hujus mei, comparem studii* → *quando hujus mei comparem studii* · p. 560	mei comparem	(A pending)	CONFIRMED	*quando hujus mei comparem*: no comma after *mei* (the *e* of *mei* reads *c*, thin)
tei	cruces-0030.md	1110D	559	1110D · *Ea dilectus meus loquitur mihi* → *En dilectus meus loquitur mihi* · p. 561	En	(A pending)	CONFIRMED	italic *En dilectus*: two-stem *n*, no *a* bowl
tei	cruces-0030.md	1115D	562	1115D · *quae ex fortitudine, divinitatis erant in Christo* → *quae ex fortitudine divinitatis erant in Christo* · p. 564	fortitudine divinitatis	(A pending)	CONFIRMED	*ex fortitudine divinitatis*: no comma between the words
tei	cruces-0030.md	1118C	563	1118C · *verbis et exemplis confirmant *Capite,* inquit* → *verbis et exemplis confirmant. *Capite,* inquit* · p. 565	confirmant.	(A pending)	CONFIRMED	*exemplis confirmant.* with a full point at line end, *Capite* opens the next line
tei	cruces-0035.md	1123D	566	1123D · *quae est quasi augusta via* → *quae est quasi angusta via* · p. 568	angusta	(A pending)	CONFIRMED	*quasi angusta via*: two-stem *n* after *a*, no *u*
tei	cruces-0040.md	1137B	573	1137B · *numerositas sexagenario numero determinatur non enim nihil* → *numerositas sexagenario numero determinatur : non enim nihil* (colon printed) · p. 575	determinatur :	(A pending)	CONFIRMED	*numero determinatur :* with a spaced colon at line end
tei	cruces-0040.md	1141A	575	1141A · *Columnus ejus fecit argenteas* → *Columnas ejus fecit argenteas* (VERS. 10; confirmed at 600-dpi zoom on scan A and on scan B p. 575) · p. 577	Columnas	(A pending)	CONFIRMED	italic lemma *Colu?nnas ejus*: the letters after *Col* are worn (the *u* broken, the next pair reads *mv/nn*) but the vowel before final *s* is a closed-bowl italic *a*, same form as the *a* of *argen-*; *-as*, not *-us*
tei	cruces-0040.md	1146B	577	1146B · *in hujus diadematis conpositione* → *in hujus diadematis compositione* (printed *com-|positione*) · p. 579	com-|positione	(A pending)	CONFIRMED	*diadematis com-|positione*: *com-* at line end (hyphen doubled/heavy), *positione* opens next line; *m* clear, no *n*
tei	cruces-0040.md	1148C	578	1148C · *oculi tui, inquit, columbarum, absque eo quod intrisecus latet* → *oculi tui, inquit, colnmbarum, absque eo quod intrisecus latet* (turned *u*; same on scan B p. 578; a `[sic: colnmbarum]` may then be fired in 0044) · p. 580	colnmbarum	(A pending)	CONFIRMED	italic *colnmbarum,*: 4th letter arched at the top and open at the foot (*n*), unlike the open-topped *u* of *-rum*
tei	cruces-0040.md	1150B	579	1150B · *suorum praepositorum instititutis* → *suorum praepositorum institutis* (printed *insti-|tutis*; same on scan B p. 579) · p. 581	insti-|titutis	(A pending)	REJECTED	B prints *insti-|titutis*: the next line opens t-i-t-u-t-i-s (two dotted *i*, three *t* of identical form; 6x zoom), so the plate itself has *instititutis* and our Latin matches it; the patch premise (*insti-|tutis*) is wrong. The site wants a `[sic: instititutis]`, not a patch
tei	cruces-0045.md	1152D	580	1152D · *peccare non crubescenti per prophetam* → *peccare non erubescenti per prophetam* (first letter an *e* with a closed eye on scan B p. 580 at 600 dpi; ink-filled on A) · p. 582	crubescenti	(A pending)	REJECTED	B prints *crubescenti*: at 10x the first letter is an open *c* with a ball terminal and NO eye-bar trace, identical to the *c* of *-scenti*, while the *e* after *b* in the same word shows its thin bar. The cruces note's "*e* with a closed eye on scan B" is not what this render shows. Our Latin = B; the site is a `[sic:]`/crux candidate (thin-bar *e* loss cannot be wholly excluded, so see A)
tei	cruces-0045.md	1154B	581	1154B · *nolle acquiescere [n: (I Reg. XV)]*. si impatientia* → *… [n: (I Reg. XV)]* : si impatientia* (colon printed; A p. 583, B p. 581 at 600 dpi) · p. 583	(I Reg. xv) :	(A pending)	CONFIRMED	*acquiescere (I Reg.* | *xv) : si impatientia*: spaced colon after the parenthesis
