page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
205	0401	a	Deest Carolino autographo S. Aredius ; et ejus loco : *Autisiodoro Eleutherii episcopi*. Postea Eleutherium hinc erasit Usuardus, lectis, ut conjicere est ; sancti illius praesulis Actis, quae mortem ejus non 26, sed 16 Augusti die consignant. Sextus decimus ille numeratur Autisiodorensis Ecclesiae episcopus, quem obiisse ferunt an. 551 : quod si verum est, falsae sunt notae chronologicae omnes, quibus usus est Anonymus in nova Labbei Bibliotheca, t. I, pag. 419. Quod S. Aredium spectat, Usuardum deceptum fuisse oportet Actis quibusdam illius sancti diversis ab iis quae juris publici fecit nostri Sodalitii praecipuum decus Mabillio, tom. I, Act., pag. 349 : haec enim narrant Aredium IX Kal. Sept. convocatis discipulis, eos de proxima sua morte monuisse ; et hora secunda noctis animam reddidisse. Quae secunda noctis hora si secundam post mediam noctem significet, mortuus fuerit Aredius VIII Kal. Septembris ; sin tantum secundam ab occasu solis indicet, IX Kal. obierit. Testatur Bernardus Guido in Bibliotheca Labbeana, pag. 631, festum S. Aredii agi VIII *Kal. Septembris*. BOUILLART.	[ Bouillart.: . . . complevit. (a) In territorio Lemovicensi	yes, key read at the plate 2026-09-21 (leaf n205, corners 401/402), transcribed by the translating stint; see src/english/9215/cruces-0004.md	cn
224	0439	a	In Carolino autographo : *Eodem die sancti Bertini abbatis* : quod cum contra morem nostri esset, totum versum delevit, minutiorique litterarum forma instauravit, ut esset spatium, quo locum, ubi potissimum Bertinus colebatur, designaret. Apposite autem designatus fuit locus ille his verbis *in pago Tarvenensi*. Tunc enim monasterium quod primus rexit, aut cujus fabricæ supremam Bertinus imposuit manum, a Tarvenna aliquot leucis distabat. Nunc autem muris Audomaropolis inclusum est. BOUILLART.	Eodem die [ *Apud Bouillart.,* (a) in pago Tarvenensi	yes, key read at the plate 2026-09-21 (leaf n224, corners 439/440), transcribed by the translating stint; see src/english/9215/cruces-0008.md	cn
230	0451	a	Omnium exemplorum, etiam Dervensis, hæc sunt verba : *In territorio Tarvennensi*. Lituræ tamen inscribuntur in Pratensi. Lituræ igitur omnibus exemplis antiquior facta igitur ab auctore. BOUILLART.	In territorio Taruanensi, (a) sancti Autmari episcopi	yes, key read at the plate 2026-09-21 (leaf n230 + Gallica f226, corners 451/452), transcribed by the translating stint; see src/english/9215/cruces-0008.md	cn
251	0493	a	In hoc articulo hæc verba *sancti Emerammi* lituræ superinducta sunt : item quidquid verborum *stupri* inter et *in pago* insertum est. Neutrius tamen lituræ ullum apparet in aliis codicibus vestigium. At quæ correctio omnibus exemplis est vetustior, cui præter quam auctori tribuenda est ? BOUILLART.	Apud Beuuarriam, (a) sancti Emerammi episcopi	yes, key read at the plate 2026-09-21 (leaf n251 (+ Gallica f247), corners 493/494), transcribed by the translating stint; see src/english/9215/cruces-0008.md	cn
278	0547	a	Purus hic articulus totus. Totus Usuardinus ; nec syllabam repudiat Sollerius, nec apicem addit. Tantum sanctos Marcellum et Apuleum ad ultimum locum rejicit, qui secundo fuerant ab Usuardo collocati. Totus tamen a *beati Marci Papæ* ad finem obliteratus. Det veniam lector, si sæpius eadem inculcamus, culpamque in Sollerium conferat, qui tametsi tam sæpe lituris abusus fuerit, ut Pratensem codicem traduceret, tot lituras tamen inobservatas relinquit. Affectatum illud Sollerii silentium nostra maxime interest sæpius indicare : quod hinc maxime tota ejus labefactatur censura. Si enim Usuardum æque referunt lituræ, ac loca integra, perspicuum est lituras non posse pro regula esse rejiciendi codicis. Nulla enim est regula quæ veri falsique communis est. Proprium, ut sciscunt logici, in communi signo notari non potest. BOUILLART.	(a) Romae via Appia, depositio beati Marci	yes, key read at the plate 2026-09-21 (leaf n278 (+ Gallica f274), corners 547/548), transcribed by the translating stint; see src/english/9215/cruces-0008.md	cn
303	0597	a	Addit Dervensis codex : « Hac eadem die depositio sancti Sindulfi confessoris, qui in gymnasio contemptus mundi agonizans volubilem solem vertit in usum ac perfecte ævum præsens despiciens ex toto corde secutus est Christum. Cujus conversio virtutibus et miraculis coruscans cœlibem declarat eum vitam duxisse. Quique duplicem terram efficaciter fugiens atque ab ea exiliens cum patriarchis in lacrymis seminans, fructumque sanctæ conversationis relinquens, cum apostolis seipsum pro Christo mactans, cum martyribus utrasque manus de salo hujus peregrinationis protendens ad litus, cum confessoribus digitos suos implens myrra probatissima cum virginibus animæ suæ sponso respondit cantico novo, quousque illi occurreret super montes aromatum simili capreæ et hinnulo cervorum. » Hæc ducta sunt ex Vita S. Sindulfi, quam nono sæculo scripsit Almannus, monachus Altovillarensis, et edidit Mabillio noster tom. I *Act.*, p. 368. Nemo nescit Altovillarense et Dervense monasteria fuisse a S. Nivardo primum fundata : ex qua affinitate factum est ut communes utriusque festi dies essent. BOUILLART.	exceptio sanctorum martyrum Georgii diaconi et Aurelii (a).	yes, key read at the plate 2026-09-21 (leaf n303 + Gallica f299, corners 597/598), transcribed by the translating stint; see src/english/9215/cruces-0008.md	cn
364	0719	a	Hic Sollerius primum notat de suo, Pratensem codicem *hoc die et duobus sequentibus a puris, imo ab omnibus ferme codicibus recedere*. Ego, qui die sequenti nullam in codice lituram videbam, non manum aliam, non aliud attramentum, statim admirari, vertere folium, Sollerianum textum percurrere, scire avidus quid vitio censor Pratensi daret. Nihil a Pratensi diversum. Sed quid animi fuit cum hæc legi statim post textum : *Undecumque puri sunt Pratensis, Heriniensis, etc.* Fateor, vix risum tenere potui. Pergo legere varias lectiones hujus diei XXI : *Turbatissima ibi omnia esse oportet, cum testetur Castellanus, ad* XXII *de sola Cæcilia agi : porro* XXIII *expunctum rursus textum totum, etc. Tum de Columbano, etc., ad* XXIV *observatur diversa manus ; unde ferme posset conjici eamdem omnino esse quæ* XIX, XXI, XXII *et* XXIII, *hujus mensis, in textus omnes grassatur*. Credit lector hæc serio dici, et incipit Pratensi codici timere ex illo Castellani testimonio. Quæso, oculos conjiciat in alteram e regione paginam, omni timore liberabitur. *Ego*, inquit Sollerius, *in Auctariis, hoc et duobus sequentibus diebus Castellani novissimo testimonio innitendum non putavi.* Præclaram censuram ? Cætera videamus. Primum stomachatur Sollerius hic additam fuisse Mariam Neocorensem : nullo tamen argumento sanctæ virginis mortem die I hujus mensis potius quam hoc die consignandum esse. Deinde affirmat Columbanum ab Usuardo hic fuisse memoratum. Fateor satius futurum fuisse Columbanum relinquere quo illum loco primum annuntiaverat. Nam, teste Jona Vitæ auctore, sanctus ille abbas hoc die mortem obiit. Sed majorem, quam Adoni, fidem habuit Usuardus Kalendario quod Ludovici Pii tempore conditum fuit pro quibusdam Galliarum ecclesiis, quæ ritum Romanum a Carolo Magno præscriptum amplecti vellent ; forte etiam incidit in Gellonense Martyrologium, quod et ipsum non hoc die, sed XXIII hujus mensis sanctum Columbanum memorat. Demetrius et Honorius sumuntur ex Hieronymianis Indicibus, qui undecim alios addunt, saltem in perantiquo nostro codice. BOUILLART.	ad Romanos scribit. (a) Apud Neocorensem civitatem	yes, key read at the plate 2026-09-21 (leaf n364, corners 719/720), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
367	0725	a	Pugnat Sollerius Columbanum non fuisse hodie ab Usuardo memoratum. Argumenta duo sunt. Primum ex Adonis auctoritate ducit, quem certus est de Columbano mentionem fecisse medius tertius. Alterum vero est dies mortis Columbani, quem diem esse hujus mensis XXI testatur Ionas, Vitæ scriptor. Jam dixi non semel, Usuardus erraverit necne, nihil nostra interesse, propter errata quædam opus auctori abjudicari non posse : quod tamen ultimum argumentum ita malum judico, ut Sollerii causa bonum esse vellem. De isto articulo nescio quid Sollerium admonuerit Chamillartus, sed in Auctariis video legisse illum aliter atque Castellanus legit. *Quod certe non capio*, inquit Sollerius, *nisi a tempore Sirmondi nova interpolatio accesserit*. Tam atrocem accusationem ulciscerer, nisi iratus essem. BOUILLART.	*Interserit Bouillart.:* (a) In Italia, beati Columbani	yes, key read at the plate 2026-09-21 (leaf n367, corners 725/726), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
387	0765	a	Syrani commemoratio a prima manu sine ulla litura, addita tamen, sed ab Usuardo. Notus est ille Syranus aut Sigirannus. Ejus gesta Labbeus in Bibliotheca et Mabillio in Actis Benedictinis juris publici fecerunt. BOUILLART.	pago Bituricensi, sancti Syrani (a) abbatis	yes, key read at the plate 2026-09-21 (leaf n387, corners 765/766), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
396	0783	a	Hoc loco folium ex codice avulsum est. Sed qui illud restituit, quia majoribus litteris usus est, hunc articulum imperfectum reliquit et plus media parte truncum. Quæ deerant, ex codice Pratensi B. supplevit Sollerius. Laudo factum et imitor. BOUILLART.	dira], carceris custodia macerata (a), cum	yes, key read at the plate 2026-09-21 (leaf n396, corners 783/784), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
417	0825	a	Fateor Basileum hic non bene fuisse ab Usuardo annuntiatum. Nam si Hieronymia nos indices secutus est, scribere debuit : *Civitate Hostia, SS. Demetrii, Honorati* (nam de Floro nulla mentio in pervetusto nostro codice) ; aut si Basileum animus erat commemorare, non *Hostiam* sed *Antiochiam* civitatem assignari oportebat. Quærenti hujus errati causam, in mentem rediit diei XXI Novembris, ubi legeram : *Civitate Hostia, sanctorum martyrum Demetrii et Honorii*. Statim evolvi nostrum Hieronymiani Martyrologii codicem qui ad ætatem Usuardi proxime accedit, quemque verisimile est ex illo exscriptum esse, quem Usuardus in suo scribendo consuluit. Ibi utroque die, id est XXI Novembris et XXII Decembris, memoratos video eosdem sanctos ex iisdem versibus, Hostiæ, SS. Demetrium et Honorium, Antiochiæ, sanctum Basileum, hoc uno discrimine, quod XXII Decembris pro *Honorius* legatur *Honoratus*. Equidem conjicio ex illa sanctorum urbiumque similitudine errorem fluxisse. Fortasse Usuardus articulum suum clauserat SS. Demetrii et Honorati commemoratione. Postea in memoriam rediens eosdem sanctos XXI die Novembris fuisse consignatos, vitium scriptoris suspicatus delevit quod scripserat (nam falso monuit Castellanus nullam esse lituram), sanctum Basileum subrogavit, et memoriæ lapsu pro *Antiochia* scripsit *Hostia*. Ut ut est, nihil inde auctoritatis amittit Pratensis codex qui autographi loco habebitur, donec erunt qui ex fonte haurire malint quam rivulos consectari. BOUILLART.	*Bouillart.*: (a) Civitate Hostia, sancti Basilei	yes, key read at the plate 2026-09-21 (leaf n417, corners 825/826), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
421	0833	a	Pratenses mss. omnes, uno excepto, juxta morem antiquum Usuardi nostri ævo usitatum, annum hic incipiunt, quos sequuntur innumeri alii. Martyrologium tamen Sollerii a Circumcisione Domini, id est a Kalendis Januarii, initium ducit. BOUILLART.	(a) Vigilia natalis Domini. Apud Antiochiam	yes, key read at the plate 2026-09-21 (leaf n421, corners 833/834), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
422	0835	a	Sollerio non placet quod Usuardinus codex Pratensis cum non nullis aliis, inter, *anno Cæsaris Augusti* XLII et *olympiadis* CXCIII legat, *hebdomada, juxta Danielis prophetiam*, LXVI. Hæc verba ad textum pertinere non existimat, eo quod in quinque codicibus, quos hoc in loco puros censet, minime reperiantur. At hi codices Pratensi inferiores ætate sunt. Uter vero alteri est anteponendus, fons rivulo, an fonti rivulus ? Cur cæteri codices non habeant, nescio. Nam nulla hic litura est in Pratensi. Suspicor primum ab Usuardo fuisse scripta ; sed cum dictavit offerendum regi Martyrologium, hac de re opinionum varietate territum timuisse, ne quid incerti traderet. BOUILLART.	*interserit Bouillart.:* (a) ebdomada, juxta Danielis	yes, key read at the plate 2026-09-21 (leaf n422+n423, corners 835/836+837/838), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
433	0857	a	Prat. codicem cum Antuerp.-Maj. et Rosweyd. excedere contendit Sollerius eo quod post *cæsa est* addant *jussu Aureliani principis*. Quis non videat hæc ab ipso auctore esse descripta, ut tempus sanctæ Columbæ martyrii accuratius demonstraretur ? Hæc verba, *jussu Aureliani principis*, loco quidem eraso, sed prima scripta sunt manu. Lectionem eamdem habent codices Pratenses B et D, Colbert. B, Victorin. B, Conchensis, Pontisar., Sandionys. et Montisburgensis. Notandum in eodem hoc articulo hæc verba, *qui a pontifice Romano ad* etc. in litura versari, cujus nullum in Dervensi codice vestigium, quæque adeo ante oblatum Carolo Martyrologium facta fuerat. Duæ sunt igitur in isto articulo lituræ diversi temporis. Eruditos rogo inspectum veniant an diversa scriptura sit. BOUILLART.	illustrem fecerunt. (a) Et in eadem urbe	yes, key read at the plate 2026-09-21 (leaf n433, corners 857/858), transcribed by the translating stint; see src/english/9215/cruces-0012.md	cn
