page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
n193	0314A	b	S. Hieronymus: *Pherez[?]i*, *separantes, sive disseminati, vel fructificantes.* Illud enim nomen derivatur a radice [Hebrew], *separare,* id est *dividere.*	Pharisaei, *divisi* (b). Secta namque eorum divisa	yes — key read at the plate (stint 0004); vowel before final i unreadable; Hebrew not letter-certain	fn
n194	0316A	1	Corr., co[r?]. *nasci*	secundo introire et [re] nasci* (1)? Carnaliter intellexit	yes — key after [re]nasci, read at the plate; r/d flagged (sense expects cod.)	vl
n197	0322B	a	De hac interpretatione verbi Judaea vide supra Col. 303.	Judaea quippe *confessio* interpretatur (a). Confessio autem duplex est	yes — key read at the plate (stint 0007)	fn
n197	0322D	1	Cod. *Ae[u?]non*.	Joannes baptizans in* Αἰνὼν (1) *juxta Saleim	yes — key read at the plate (stint 0007); u/n is the class this copy blurs	vl
n197	0322D	b	Recte J. Scotus interpretatur aquis. Nam derivatur [Hebrew] a [Hebrew], fons, puteus. S. Hieronymus: Aenon, oculus, aut fons eorum.	hoc est *in aquis* (b); *enos* enim hebraice	yes — key read at the plate (stint 0007); Hebrew not transcribed	fn
n197	0322D	2	Sic cod. pro *Aenno[n?]*.	*in aquis*; *enos* (2) enim hebraice *aqua* dicitur	yes — key read at the plate (stint 0007); final letter damaged	vl
n198	0323A	a	S. Hieronymus: Jerusalem, visio pacis, timebit perfecte. Derivatio verbi [Hebrew] ab [Hebrew] et [Hebrew], id est, domus pacis, praeferenda est alteri a [Hebrew] et [Hebrew], id est, possessio pacis.	divulgatam in fines mundi gloriosissimam famam (a). Alii vero, quibus	yes — key read at the plate (stint 0007); Hebrew not transcribed	fn
n198	0323B	1	Cod. *non*.		no — KEY NOT LOCATED on either copy; probable site 0323B *Non[dum] enim missus*, no raised 1 visible, so not placed	vl
n198	0323B	2	Cod. *non contulisse*.	remissionem contulisse (2). Quid ergo contulit?	yes — key read at the plate (stint 0007)	vl
n198	0323B	3	Cod. *baptismatis*.	catechumenis nondum baptizatis (3) doctrina fidei prodest	yes — key read at the plate (stint 0007); note completed from Princeton PA323	vl
n199	0325A	1	Cod. *quicquam accipere*.	Non potest homo accipere quicquam (1), nisi fuerit ei datum	yes — key read at the plate (stint 0007)	vl
n199	0326C	2	Corr., cod. *qu[?][?]n[?]ies*.	quid es praeter hominem, aut quantus (2), et quid gratiae	yes — key read at the plate (stint 0007); codex word illegible on both copies, not guessed	vl
n200	0327B	1	*me* om. cod., add. ex conj.	Putatis majorem [me] (1) esse, quam sum	yes — key read at the plate (stint 0007)	vl
n200	0328B	2	Corr.; cod. *credendum*.	recte credendus (2) est hominem ante peccatum	yes — key read at the plate (stint 0007)	vl
n201	0329A	1	Corr., pro *sunt* cod. *sed*.	neque credituri sunt (1), a se ipsis [ad] interitum	yes — key read at the plate (stint 0007); italic letters thin	vl
n201	0329B	2	Cod. *nunquid*.	verba Dei loquitur. Nonne (2) et	yes — key read at the plate (stint 0007; chunk 0010 range)	vl
n201	0329C	3	Cod. *nunquid*.	missi sunt? Nonne (3) et apostoli ab eo	yes — key read at the plate (stint 0010, archive n201 at 2x, raised 3 after the SECOND Nonne); confirmed on Princeton PA329	vl
n202	0331B	1	*Abiit* om. cod., add. ex conj.	et ab iis iterum [abiit] (1) in Galilaeam	yes — key read at the plate (stint 0010), after Floss's bracket	vl
n202	0332A	a	S. Hieronymus : *Galilaea, volutabilis, aut transmigratio perpetrata* vel *rota*. J. Scotus recte vocem derivat a (Hebrew), *volvere;* interpretio *transmigratio* respicit (Hebrew), Gilgal, Josua V, 9.	vel *revolutio* interpretatur (a); transmigratio autem	yes — key read at the plate (stint 0010); 'interpretio' as printed on both copies; Hebrew not transcribed	fn
n202	0332C	b	Sic S. Hieronymus : *Sichar conclusio sive ramus.*	*conclusio* seu *ramus* (b). Gentilium populus	yes — key read at the plate (stint 0010)	fn
n202	0332C	c	S. Hieronymus : *Corrupte pro Sichem, quae transfertur in humeros, ut Sichar legeretur, usus obtinuit.* J. Scotus legisse videtur *numeri* pro *humeri*; sed interpretatio *numeri* non satis accurata est; nam Sichem derivatur a (Hebrew).	Sychem interpretatur *numeri* (c): electos ex gentibus	yes — key read at the plate (stint 0010); Hebrew not transcribed	fn
n203	0334D	1	Cod. *delectionem*.	puteum profundum delectationem (1) corporalium	yes — key read at the plate (stint 0010)	vl
n204	0335A	1	Cod. *delectati[o?]nem*.	semper appetit delectatione (1) temporalium	yes — key read at the plate (stint 0010); o/e blurred on archive (reads 'delectatienem'), Princeton o-like	vl
n204	0336B	2	Cod. *praeten[?]u[n?]t*.	praetendit (2). Ternaria quippe	yes — key read at the plate (archive n204) and Princeton PA335; codex word damaged on both copies, not guessed	vl
n204	0336C	3	Cod. *iu[r/v?]etur*.	merito jubetur (3) mulier	yes — key read at the plate (archive clips the line; key visible) and Princeton PA335; r/v unsettled (archive r-like, Princeton v-like)	vl
n204	0336C	4	*potest* om. cod., add. ex conj.	supernae gratiae [potest] (4) esse particeps	yes — key read on archive and Princeton PA335, after Floss's bracket	vl
n204	0336C	5	Sic cod., forte *quia?*	laudo, quod dixisti, quae (5) vere dixisti	yes — key on archive n204; note head 'Sic cod.,' clipped on the archive, read on Princeton PA335	vl
n205	0337A	1	Cod. *unaquaeque anima*.	sub quibus unamquamque animam (1), priusquam	yes — key read at the plate (stint 0010)	vl
n206	0339A	1	Corr., cod. *qui a spiritu*.	Jam quia spiritus (1) est, eos	yes — key read at the plate (stint 0010, archive n206 left col); the leaf's only VL key	vl
n206	0340B	a	Mira sane interpretatio; derivare enim videtur vocem *Philippus* a (Hebrew), *os*, et λαμπάς.	Philippus, qui interpretatur *os lampadis* (a), figuram gerit praedicantium	yes — key read at the plate (stint 0013, Princeton PA339 at 3x; archive n206 clips the line-end); Hebrew (one or two letters) not letter-certain	fn
n207	0342A	1	Cod. *satiati*.	distribuit hordaceos, ut prius inde satiatos (1), si fidem, quam acceperant	yes — key read at the plate (stint 0013, archive n207)	vl
n208	0343C	a	Respicit Graecorum harmonias.	Habet enim diatessaron (a) in quaternario cum ternario collato	yes — key read at the plate (stint 0013, archive n208)	fn
n209	0345C	1	*non* om. cod.	et ea, quae per sensus accipiuntur, [non] (1) potest ascendere	yes — key read at the plate (stint 0013, archive n209), after Floss's bracket	vl
n209	0346C	2	Una linea deest.	sensibus corporeis quinariis conveniunt (2). . . . . . .	yes — key read at the plate (stint 0013, archive n209), after *conveniunt*, before the dot run	vl
